index,cate,rate,count,throughput,latency
17,Narwhal-250,1000,2,3.5615,5.273
18,Narwhal-250,2000,2,7.046,5.1475
19,Narwhal-250,4000,1,14.447,4.59
20,Narwhal-250,6000,1,22.364,4.461
21,Narwhal-250,8000,1,29.37,4.886
22,Narwhal-250,9000,1,31.155,5.166
23,Narwhal-250,10000,1,31.205,8.969
24,Narwhal-250,12000,1,25.935,14.834
