index,cate,rate,count,throughput,latency
38,Jasmine-0,100,2,0.4,0.00452125
39,Jasmine-0,200,2,0.8,0.0043837500000000005
40,Jasmine-0,400,2,1.6,0.0045559375
41,Jasmine-0,800,2,3.2,0.0045241562499999995
42,Jasmine-0,1000,2,4.0,0.004538
43,Jasmine-0,2000,2,8.0,0.0045941625
44,Jasmine-0,4000,2,16.0,0.004773921875
45,Jasmine-0,10000,2,40.0,0.00554119875
46,Jasmine-0,20000,2,80.0,0.006607016875
47,Jasmine-0,40000,2,160.0,0.00861222
48,Jasmine-0,50000,2,200.0,0.00994881475
49,Jasmine-0,80000,2,320.0,0.01361024390625
50,Jasmine-0,100000,2,400.0,0.0157677955
