index,cate,rate,count,throughput,latency
6,Jasmine-128,100,2,0.3888297912819823,3.664625665285952
7,Jasmine-128,200,2,0.7762991032230727,3.3307801062132016
8,Jasmine-128,300,2,1.1619034283729652,3.239876089645011
9,Jasmine-128,400,2,1.549112373942686,3.1801858091647732
10,Jasmine-128,800,2,3.0906502171360604,2.9587047292892352
11,Jasmine-128,1000,2,3.8572003615822386,2.807716309344947
12,Jasmine-128,1600,2,6.18418321862805,2.393853932434007
13,Jasmine-128,2000,2,7.707435482692686,2.209764822918081
14,Jasmine-128,4000,2,15.402000017474219,1.8280667296004123
15,Jasmine-128,6000,2,23.16392304730185,1.7695222547276024
16,Jasmine-128,6700,2,25.93979634975425,2.0310385009603604
17,Jasmine-128,7000,2,25.721631831382005,2.7128441282898788
18,Jasmine-128,10000,2,24.91128634836212,3.095616655750878
