index,cate,rate,count,throughput,latency
34,Jasmine-10,100,2,0.38901409481611626,6.467455299059514
35,Jasmine-10,200,2,0.7722372771534286,5.636261087562931
36,Jasmine-10,700,2,2.7048355243934594,4.997709403928797
37,Jasmine-10,1000,2,3.879834686272008,4.374376551227634
38,Jasmine-10,1500,2,5.77358067748834,3.5891912815166576
39,Jasmine-10,2000,2,7.766599793675844,3.1241892332337384
40,Jasmine-10,3000,2,11.522188568210288,2.701858968665115
41,Jasmine-10,5000,2,19.15171516026316,2.768813352275605
42,Jasmine-10,6000,2,22.313030237210523,3.1176085637783872
43,Jasmine-10,6500,2,24.003688635194703,3.2967546832057177
44,Jasmine-10,10000,2,23.98202675348618,3.748152341257729
