index,cate,rate,count,throughput,latency
35,Jasmine-256,100,2,0.3868871012530648,3.7108656213051026
36,Jasmine-256,200,2,0.7758047487605647,3.36240258985859
37,Jasmine-256,400,2,1.5481612635820041,3.276263571660218
38,Jasmine-256,800,2,3.0890908047104126,3.0229154042112327
39,Jasmine-256,1600,2,6.1816125516585165,2.400762224745102
40,Jasmine-256,3200,2,12.345559191768185,2.2550547553251903
41,Jasmine-256,3400,2,12.321170590715933,3.0425981686304793
42,Jasmine-256,5000,2,12.50082239940027,3.6832006916893416
