index,cate,rate,count,throughput,latency
79,Jasmine-25,100,2,0.3790682436252384,11.65547445411871
80,Jasmine-25,200,2,0.7358570808022018,10.899949964211853
81,Jasmine-25,400,2,1.4820527040131806,8.79459523195865
82,Jasmine-25,1000,2,3.7322746326270604,5.130003761638489
83,Jasmine-25,2000,2,7.35192246557638,3.645344599672786
84,Jasmine-25,4000,2,14.345406660264366,3.6538223608845515
85,Jasmine-25,6000,2,20.21008046101448,3.507857688547573
86,Jasmine-25,40000,2,23.777271679644144,3.5770906615251343
