index,cate,rate,count,throughput,latency
64,Jasmine-20,100,2,0.38035811097930133,9.974123906648053
65,Jasmine-20,200,2,0.7529304528638954,9.223975231191236
66,Jasmine-20,400,2,1.5043272174253868,8.153030866085576
67,Jasmine-20,800,2,3.0207763724577674,5.631167980788788
68,Jasmine-20,1000,2,3.778415763255907,4.940725824255896
69,Jasmine-20,2000,2,7.467194612038396,3.5076332792475995
70,Jasmine-20,4000,2,14.648572378445525,3.399763097528976
71,Jasmine-20,8000,2,22.626401653847815,3.625976032933874
72,Jasmine-20,9000,2,22.610062951013838,3.695773395104155
73,Jasmine-20,10000,2,22.130286930383008,3.7872897695766516
