index,cate,rate,count,throughput,latency
19,Jasmine-5,100,2,0.38962555338997423,4.5348429328739215
20,Jasmine-5,200,2,0.7817576819987946,3.682799503069947
21,Jasmine-5,400,2,1.5597711088917108,3.3422597782590198
22,Jasmine-5,1000,2,3.8839149052988198,3.1867579476681795
23,Jasmine-5,2000,2,7.75604198085457,2.8433541085754914
24,Jasmine-5,5000,2,19.30278074242636,2.170978569861429
25,Jasmine-5,6000,2,23.234528122124594,2.24759909768183
26,Jasmine-5,6500,2,25.30003796986056,2.3313928801039863
27,Jasmine-5,7000,2,27.03687406581312,2.8002173372285473
28,Jasmine-5,7500,2,26.56316351060024,3.524646460398099
