index,cate,rate,count,throughput,latency
11,HotStuff-1,100,2,0.3999800019998,0.0242375
12,HotStuff-1,200,2,0.8,0.024362500000000002
13,HotStuff-1,400,2,1.5998400319936015,0.024253125
14,HotStuff-1,800,2,3.199680063987203,0.024449687499999997
15,HotStuff-1,1600,2,6.399360127974406,0.024345859375
16,HotStuff-1,3200,2,12.7993600639936,0.024475843749999997
17,HotStuff-1,6400,2,25.596160639884822,0.02565479296875
18,HotStuff-1,12000,2,47.9825,0.028850108888859933
19,HotStuff-1,20000,2,79.9380094983903,0.033099938086303946
20,HotStuff-1,23500,2,92.41012714999846,0.12559269245614402
21,HotStuff-1,24000,2,88.89255406782343,0.18989396639967926
22,HotStuff-1,48000,2,84.41022477752225,0.2543972637150883
23,HotStuff-1,80000,2,84.38569825482831,0.25538971168783076
