index,cate,rate,count,throughput,latency
6,Jasmine-250,100,2,0.3888297912819823,3.664625665285952
7,Jasmine-250,200,2,0.7762991032230727,3.3307801062132016
8,Jasmine-250,400,2,1.549112373942686,3.1801858091647732
9,Jasmine-250,1000,2,3.8572003615822386,2.807716309344947
10,Jasmine-250,2000,2,7.707435482692686,2.209764822918081
11,Jasmine-250,4000,2,15.402000017474219,1.8280667296004123
12,Jasmine-250,6000,2,23.16392304730185,1.7695222547276024
13,Jasmine-250,6700,2,25.93979634975425,2.0310385009603604
14,Jasmine-250,7000,2,25.721631831382005,2.7128441282898788
15,Jasmine-250,10000,2,24.91128634836212,3.095616655750878
