index,cate,rate,count,throughput,latency
24,HotStuff-10,100,2,0.39455865102199006,0.31856295074038776
25,HotStuff-10,200,2,0.7875773357852252,0.31847402597402596
26,HotStuff-10,500,2,1.9711310841196812,0.31716963414460675
27,HotStuff-10,1000,2,3.938690233709174,0.2772323113207547
28,HotStuff-10,2000,2,7.859632594283343,0.2609681260279546
29,HotStuff-10,3200,2,11.71671998490158,0.6594817081856061
30,HotStuff-10,5000,2,11.739846549144499,1.5271981078126315
31,HotStuff-10,10000,2,11.740351824376615,1.658695505567208
