index,cate,rate,count,throughput,latency
29,Jasmine-256,100,1,0.3868709233439052,3707.603763856664
30,Jasmine-256,200,1,0.7746057694224597,3388.1557071162015
31,Jasmine-256,400,1,1.544114714211639,3291.460703907007
32,Jasmine-256,800,1,3.076593326620742,3032.8250542756227
33,Jasmine-256,1600,1,6.156735427800809,2420.408557242991
34,Jasmine-256,3200,1,12.39040678203321,2403.948688881717
35,Jasmine-256,3400,1,13.096511535084218,2216.2931237047424
36,Jasmine-256,3500,1,12.19941212103157,3569.7675314389257
37,Jasmine-256,3600,1,12.235452103849598,3617.925659536759
38,Jasmine-256,5000,1,11.598363589366313,4102.907219322615
