index,cate,rate,count,throughput,latency
0,HotStuff-250,100,1,0.383657267998905,3859.5742062076347
1,HotStuff-250,200,1,0.7631869211126724,3639.2480696891703
2,HotStuff-250,225,1,0.8347205363851801,4052.3665477962813
3,HotStuff-250,250,1,0.839899703144364,6641.395923409512
4,HotStuff-250,300,1,0.8365944926873857,10726.342125480154
5,HotStuff-250,400,1,0.8528408762499278,11501.580481192816
6,Jasmine-250,100,1,0.39005959451770367,3654.913499680102
7,Jasmine-250,200,1,0.7739027236189925,3317.7020618556703
8,Jasmine-250,300,1,1.1605886754801695,3257.342967675378
9,Jasmine-250,400,1,1.5479900903060817,3160.623193082086
10,Jasmine-250,1000,1,3.8565777907998826,2811.3654863654865
11,Jasmine-250,2000,1,7.7114552197774735,2224.126376717656
12,Jasmine-250,4000,1,15.364698358132888,1772.0842240476609
13,Jasmine-250,6000,1,23.056193691444097,1730.5126398190907
14,Jasmine-250,6700,1,25.928298985541975,2182.861518016028
15,Jasmine-250,7000,1,26.515476677679846,2214.559353260051
16,Jasmine-250,8000,1,25.93716918056274,3049.9534192619335
17,Jasmine-250,10000,1,26.805702838462764,2963.7387258293775
18,Jasmine-250,11000,1,26.785005049646525,2948.054738364453
19,Jasmine-250,12000,1,26.941073384446877,2964.7735285464864
20,Narwhal-250,100,1,0.37,5216.0
21,Narwhal-250,6000,1,22.364,4461.0
22,Narwhal-250,8000,1,29.37,4886.0
23,Narwhal-250,10000,1,31.205,8969.0
24,Narwhal-250,11000,1,28.28,11931.0
25,Narwhal-250,12000,1,25.935,14834.0
26,HotStuff-500,100,1,0.3903416429291768,4502.435127478753
27,HotStuff-500,200,1,0.7715248697783679,3922.249801429706
28,HotStuff-500,400,1,1.5422263542034003,3830.512195121951
29,HotStuff-500,450,1,1.6851549924710525,5081.950367284559
30,HotStuff-500,500,1,1.6827515290437987,9895.203373647359
31,HotStuff-500,1000,1,1.706162499880219,12543.003089019938
32,Jasmine-500,100,1,0.3896932711100475,4589.157241555783
33,Jasmine-500,200,1,0.7802757793764988,3698.90984761173
34,Jasmine-500,400,1,1.5528551886651156,3351.5634002057614
35,Jasmine-500,1000,1,3.8608612306432772,3211.4548745797774
36,Jasmine-500,2000,1,7.716064806948456,2850.7737150259068
37,Jasmine-500,5000,1,19.134080166288587,2253.6286129869586
38,Jasmine-500,7000,1,26.785484046931874,2708.035655570778
39,Jasmine-500,8000,1,23.102823933378065,3810.3005178470376
40,Jasmine-500,8500,1,24.967988275992703,3682.0948466418363
41,Jasmine-500,9000,1,24.805620234442923,3497.060789840079
42,Jasmine-500,10000,1,24.99886339843867,3477.396590279581
43,Narwhal-500,100,1,0.382,4876.0
44,Narwhal-500,1000,1,7.406,5016.0
45,Narwhal-500,2000,1,29.72,4783.0
46,Narwhal-500,9000,1,32.55,5351.0
47,Narwhal-500,10000,1,30.734,8885.0
48,Narwhal-500,12000,1,26.921,14440.0
49,HotStuff-1000,100,1,0.3894432205952227,4515.054458740018
50,HotStuff-1000,200,1,0.7737161421094282,4587.83079131527
51,HotStuff-1000,500,1,1.912338718421338,3930.6541459957475
52,HotStuff-1000,750,1,2.830348164052945,4056.3325235026937
53,HotStuff-1000,875,1,3.2223233571981686,5727.795882660461
54,HotStuff-1000,1000,1,3.2351304772631666,10048.020553691274
55,Jasmine-1000,100,1,0.38634658664666166,4613.085221143474
56,Jasmine-1000,200,1,0.7697888118652265,4656.970052356021
57,Jasmine-1000,400,1,1.5488919419389522,3786.802802416763
58,Jasmine-1000,1000,1,3.7563882738759133,3630.7276756038113
59,Jasmine-1000,4000,1,15.055554631493155,3003.4914351685625
60,Jasmine-1000,5500,1,20.41837974599264,3065.4758049198035
61,Jasmine-1000,6500,1,24.333156393072787,3053.604865362329
62,Jasmine-1000,7000,1,26.689783386664274,3359.329446534543
63,Jasmine-1000,7500,1,26.385067747447053,4084.7246266375314
64,Jasmine-1000,8000,1,24.747050621520327,4440.402675169111
65,Jasmine-1000,8300,1,24.539085788345545,4643.610859379221
66,Jasmine-1000,9000,1,22.94328871472414,4997.997562182855
67,Jasmine-1000,10000,1,24.394340718612565,4706.420381649943
68,Narwhal-1000,100,1,0.369,5021.0
69,Narwhal-1000,6000,1,21.238,5292.0
70,Narwhal-1000,9000,1,31.918,4888.0
71,Narwhal-1000,10500,1,28.295,7305.0
72,Narwhal-1000,11000,1,24.701,9345.0
73,Narwhal-1000,12000,1,25.337,15572.0
