index,cate,rate,count,throughput,latency
6,Jasmine-128,100,1,0.39005959451770367,3654.913499680102
7,Jasmine-128,200,1,0.7739027236189925,3317.7020618556703
8,Jasmine-128,300,1,1.1605886754801695,3257.342967675378
9,Jasmine-128,400,1,1.5479900903060817,3160.623193082086
10,Jasmine-128,1000,1,3.8565777907998826,2811.3654863654865
11,Jasmine-128,2000,1,7.7114552197774735,2224.126376717656
12,Jasmine-128,4000,1,15.364698358132888,1772.0842240476609
13,Jasmine-128,6000,1,23.056193691444097,1730.5126398190907
14,Jasmine-128,6700,1,25.928298985541975,2182.861518016028
15,Jasmine-128,7000,1,26.515476677679846,2214.559353260051
16,Jasmine-128,8000,1,25.93716918056274,3049.9534192619335
